Dataset Name,Text File 1,Dataset Name 2,Text File 2,Similarity Score
batch2,6-1-6b_line_9874_4,batch2,6-1-7a_line_9874_1,0.2893081761006289
batch2,6-1-6b_line_9874_4,batch2,6-1-7a_line_9874_5,0.22012578616352202
batch2,6-1-6b_line_9874_4,batch2,6-1-7a_line_9874_2,0.21604938271604937
batch2,6-1-6b_line_9874_4,batch2,6-1-6b_line_9874_3,0.23270440251572327
batch2,6-1-6b_line_9874_4,batch2,6-1-7a_line_9874_4,0.34591194968553457
batch2,6-1-6b_line_9874_4,batch2,6-1-6b_line_9874_6,0.22641509433962265
batch2,6-1-6b_line_9874_4,batch2,6-1-7a_line_9874_3,0.25157232704402516
batch2,6-1-6b_line_9874_4,batch3,11-1-164b_line_9874_1,0.3018867924528302
batch2,6-1-6b_line_9874_4,batch3,11-1-164b_line_9874_4,0.27044025157232704
batch2,6-1-6b_line_9874_4,batch3,11-1-164a_line_9874_5,0.27044025157232704
batch2,6-1-6b_line_9874_4,batch3,11-1-164b_line_9874_2,0.25157232704402516
batch2,6-1-6b_line_9874_4,batch3,11-1-164b_line_9874_5,0.2830188679245283
batch2,6-1-6b_line_9874_4,batch3,11-1-164a_line_9874_6,0.22012578616352202
batch2,6-1-6b_line_9874_4,batch3,11-1-164b_line_9874_6,0.25157232704402516
batch2,6-1-6b_line_9874_4,batch3,11-1-165a_line_9874_0,0.2641509433962264
batch2,6-1-6b_line_9874_4,batch3,11-1-164b_line_9874_0,0.25157232704402516
batch2,6-1-6b_line_9874_4,batch3,11-1-164b_line_9874_3,0.2641509433962264
batch2,6-1-6b_line_9874_4,batch1,1-1-4a_line_9874_6,0.2389937106918239
batch2,6-1-6b_line_9874_4,batch1,1-1-4a_line_9874_2,0.23756906077348067
batch2,6-1-6b_line_9874_4,batch1,1-1-4a_line_9874_4,0.23030303030303031
batch2,6-1-6b_line_9874_4,batch1,1-1-4b_line_9874_3,0.26627218934911245
batch2,6-1-6b_line_9874_4,batch1,1-1-4b_line_9874_1,0.23391812865497075
batch2,6-1-6b_line_9874_4,batch1,1-1-4a_line_9874_3,0.20754716981132076
batch2,6-1-6b_line_9874_4,batch1,1-1-4a_line_9874_1,0.25882352941176473
batch2,6-1-6b_line_9874_4,batch1,1-1-4a_line_9874_5,0.18238993710691823
batch2,6-1-6b_line_9874_4,batch1,1-1-4b_line_9874_0,0.2331288343558282
batch2,6-1-6b_line_9874_4,batch1,1-1-4b_line_9874_2,0.2459016393442623
batch2,6-1-6b_line_9874_3,batch2,6-1-6b_line_9874_5,0.43125
batch2,6-1-6b_line_9874_3,batch2,6-1-7a_line_9874_0,0.2549019607843137
batch2,6-1-6b_line_9874_3,batch2,6-1-7a_line_9874_1,0.25806451612903225
batch2,6-1-6b_line_9874_3,batch2,6-1-7a_line_9874_5,0.25157232704402516
batch2,6-1-6b_line_9874_3,batch2,6-1-7a_line_9874_2,0.25925925925925924
batch2,6-1-6b_line_9874_3,batch2,6-1-6b_line_9874_4,0.23270440251572327
batch2,6-1-6b_line_9874_3,batch2,6-1-7a_line_9874_4,0.31645569620253167
batch2,6-1-6b_line_9874_3,batch2,6-1-6b_line_9874_6,0.23225806451612904
batch2,6-1-6b_line_9874_3,batch2,6-1-7a_line_9874_3,0.18064516129032257
batch2,6-1-6b_line_9874_3,batch3,11-1-164b_line_9874_1,0.26143790849673204
batch2,6-1-6b_line_9874_3,batch3,11-1-164b_line_9874_4,0.3137254901960784
batch2,6-1-6b_line_9874_3,batch3,11-1-164a_line_9874_5,0.20915032679738563
batch2,6-1-6b_line_9874_3,batch3,11-1-164b_line_9874_2,0.22875816993464052
batch2,6-1-6b_line_9874_3,batch3,11-1-164b_line_9874_5,0.21568627450980393
batch2,6-1-6b_line_9874_3,batch3,11-1-164a_line_9874_6,0.26143790849673204
batch2,6-1-6b_line_9874_3,batch3,11-1-164b_line_9874_6,0.22875816993464052
batch2,6-1-6b_line_9874_3,batch3,11-1-165a_line_9874_0,0.22875816993464052
batch2,6-1-6b_line_9874_3,batch3,11-1-164b_line_9874_0,0.2875816993464052
